,Trip Names,Prices ,Discounted_Prices ,Discount,Duration
230,Ali Bedni Bughyal,N/A,10000 per person,0,6 Days 5 Nights
231,Bhrigu Lake Trek,6000,5500 per person,500,3 Days 2 Nights
232,Kashmir Great Lakes Trek,16000,15000 per person,1000,8 Days 7 Nights
233,Valley of Flowers Trek,9500,9000 per person,500,6 Days 5 Nights
234,Chadar Trek,N/A,17499 per person,0,9 Days 8 Nights
235,Snowboarding Course in Gulmarg,N/A,28000 per person,0,7 Days 6 Nights
236,Hampta Pass Trek,8000,7500 per person,500,5 Days 4 Nights
237,Brahmatal Trek,7499,6999 per person,500,5 Days 4 Nights
238,Nag Tibba Trek,N/A,6000 per person,0,2 Days 1 Night
239,Roopkund Trek,N/A,15000 per person,0,8 Days 7 Nights
240,Saputara Group Trip,N/A,3499 per person,0,3 Days 2 Nights
241,Ratanmahal Trek From Vadodara,N/A,1200 per person,0,1 Day
242,Andharban Forest Trek,N/A,1999 per person,0,1 Day
243,Peb Fort Trek,N/A,1999 per person,0,1 Day
244,Devkund Waterfall Trek,N/A,1999 per person,0,1 Day
245,Harihar Fort Trek,N/A,1999 per person,0,1 Day
246,Harishchandragad Trek,N/A,1999 per person,0,1 Day
247,Jivdhan Fort Trek,N/A,1800 per person,0,1 Day
248,Kalsubai Trek,N/A,1800 per person,0,1 Day
249,Tarsar Marsar Trek,14250,13750 per person,500,7 Days 6 Nights
250,Ali Bedni Bughyal,N/A,10000 per person,0,6 Days 5 Nights
251,Bhrigu Lake Trek,6000,5500 per person,500,3 Days 2 Nights
252,Kashmir Great Lakes Trek,16000,15000 per person,1000,8 Days 7 Nights
253,Valley of Flowers Trek,9500,9000 per person,500,6 Days 5 Nights
254,Chadar Trek,N/A,17499 per person,0,9 Days 8 Nights
255,Snowboarding Course in Gulmarg,N/A,28000 per person,0,7 Days 6 Nights
256,Honeymoon Special- Chandigarh Shimla Manali,N/A,20000 per person,0,5 Days 4 Nights
257,Honeymoon Special- Himachal Pardesh,65000,60000 per person,5000,9 Days 8 Nights
258,Phuket Krabi Honeymoon Trip,N/A,58000 per person,0,6 Days 5 Nights
259,Honeymoon Special - Phuket Krabi,N/A,48000 per person,0,5 Days 4 Nights
260,Honeymoon Special- Shimla to Manali,N/A,23000 per person,0,6 Days 5 Nights
